Student ID,Grade level,Overall Math Level,Overall ELA Level,BOY Math Level,BOY ELA Level,Prior SBAC Math Level (#)
DEMO-0064,8,767,950,694,913,1
DEMO-0065,8,984,848,936,791,4
DEMO-0066,7,777,765,744,711,3
DEMO-0067,7,857,619,826,608,3
DEMO-0068,6,521,587,483,516,1
DEMO-0069,7,496,607,478,569,1
DEMO-0070,7,834,908,799,874,3
DEMO-0071,8,685,893,671,819,2
DEMO-0072,8,813,913,774,838,1
DEMO-0073,7,723,739,706,701,3
DEMO-0074,7,624,638,578,593,2
DEMO-0075,7,837,769,809,742,3
DEMO-0076,7,837,704,802,636,3
DEMO-0077,8,852,777,769,707,2
DEMO-0078,6,602,659,558,616,1
DEMO-0079,6,621,664,586,584,4
DEMO-0080,7,612,741,581,670,1
DEMO-0081,8,785,793,773,744,2
DEMO-0082,7,696,676,647,610,1
DEMO-0083,6,533,656,474,637,1
DEMO-0084,6,677,753,646,706,4
DEMO-0085,6,484,527,424,470,2
DEMO-0086,6,566,602,538,551,2
DEMO-0087,8,614,842,615,749,2
DEMO-0088,7,747,742,729,684,3
DEMO-0089,6,668,608,657,548,4
DEMO-0090,7,758,909,733,884,4
DEMO-0091,7,953,787,912,739,3
DEMO-0092,7,785,676,772,640,4
DEMO-0093,7,625,604,596,505,2
DEMO-0094,7,931,741,898,698,3
DEMO-0095,6,527,773,510,719,2
DEMO-0096,6,672,670,658,594,3
DEMO-0097,8,868,670,837,605,4
DEMO-0098,8,730,745,685,721,1
DEMO-0099,7,824,765,804,700,3
DEMO-0100,7,735,840,719,774,4
DEMO-0101,7,754,766,726,718,4
DEMO-0102,6,548,667,512,606,2
DEMO-0103,7,816,841,795,787,4
DEMO-0104,7,632,856,608,831,2
DEMO-0105,7,554,701,528,660,1
DEMO-0106,8,926,890,916,838,3
DEMO-0107,7,669,678,642,638,1
DEMO-0108,8,809,769,789,706,3
DEMO-0109,7,868,802,810,730,3
DEMO-0110,6,702,541,681,484,4
DEMO-0111,8,859,869,821,824,3
DEMO-0112,8,896,880,859,801,4
DEMO-0113,7,643,824,633,769,2
DEMO-0114,8,869,763,861,704,3
DEMO-0115,7,799,785,777,749,3
DEMO-0116,8,869,845,827,797,4
DEMO-0117,6,588,774,568,702,2
DEMO-0118,6,286,596,268,529,1
DEMO-0119,8,852,766,875,718,4
DEMO-0120,8,815,895,792,843,3
DEMO-0121,7,674,687,638,631,2
DEMO-0122,8,871,751,833,718,4
DEMO-0123,6,628,728,590,680,4
DEMO-0124,8,822,889,798,848,4
DEMO-0125,7,579,506,553,482,2
DEMO-0126,6,481,581,436,526,2
DEMO-0127,6,636,566,609,517,4
DEMO-0128,6,611,707,623,684,4
DEMO-0129,8,817,973,768,937,1
DEMO-0130,7,719,920,709,869,3
DEMO-0131,8,840,911,785,917,3
DEMO-0132,7,708,667,648,612,2
DEMO-0133,6,618,564,575,507,1
DEMO-0134,6,627,579,580,514,3
DEMO-0135,7,784,794,721,754,4
DEMO-0136,8,761,956,751,933,1
DEMO-0137,8,872,702,837,637,4
DEMO-0138,8,859,904,825,879,3
DEMO-0139,6,614,729,601,666,3
DEMO-0140,7,665,780,598,742,2
DEMO-0141,7,736,1014,717,982,3
DEMO-0142,7,778,798,762,740,4
DEMO-0143,7,614,758,579,683,1
DEMO-0144,6,610,704,562,655,1
DEMO-0145,8,811,811,791,764,3
DEMO-0146,7,649,667,630,649,1
DEMO-0147,8,752,889,713,820,2
DEMO-0148,8,673,947,669,894,2
DEMO-0149,8,711,836,695,790,2
